JD,2017,2018,2019,2020,2021,2022,2023,Change in Median Days to Disposition,2017 hearings,2018 hearings,2019 hearings,2020 hearings,2021 hearings,2022 hearings,2023 hearings,Change in Average Number of Hearings per Case,Felony Cases 2023,2017 hearing time,2018 hearing time,2019 hearing time,2020 hearing time,2021 hearing time,2022 hearing time,2023 hearing time,Change in Average Days Between Hearings
JD 01,132,122,130,171,197,176.5,180,48,5.5722,6.3377,6.3872,7.1845,8.192,7.7669,7.8835,2.3113,3223,26.8066,21.1105,22.0035,24.0029,23.8616,23.7249,22.9484,-3.86
JD 02,182,161,165,214,237,229,195,13,8.6753,8.4649,8.6279,9.5839,10.5266,10.3598,9.8817,1.2064,5271,22.9420,21.3163,21.1504,23.1274,23.4917,22.5889,22.4553,-0.49
JD 03,162,134,190,193.5,166.5,181,212,50,7.1304,7.3983,7.6431,8.78,9.0482,9.4217,9.1038,1.9734,213,20.0908,21.5437,23.4861,24.1059,22.8613,22.3441,23.4005,3.31
JD 05,118,132.5,145,202,201.5,182,210,92,6.5565,7.1691,7.4571,8.7319,8.3651,7.9711,8.2648,1.7083,686,22.4231,22.6660,22.8289,25.1252,23.7955,26.3848,26.4289,4.01
JD 06,135,116,135,146,150,157,136,1,8.5986,7.3833,8.0678,8.2991,8.625,8.4674,8.1963,-0.4023,439,17.4192,18.1648,18.5519,19.7736,20.2736,20.4075,19.7418,2.32
JD 07,147,148,155,224,251,223.5,229,82,7.5912,8.0117,8.3153,9.8251,10.9312,10.9713,10.9264,3.3352,603,23.0106,22.0306,20.9349,20.9451,22.1989,21.2788,21.2005,-1.81
JD 08,95,104,108,145,173,166,155,60,7.3075,7.643,7.723,8.5104,9.7624,9.3634,8.8903,1.5828,2017,15.7948,15.8979,16.7585,18.1769,18.9134,19.8908,20.0715,4.28
JD 09,160,160,169,232,249,288,246,86,10.8647,8.9359,9.0313,10.3109,11.1792,12.3149,11.6022,0.7375,467,23.9295,24.0338,25.9574,28.4015,26.9342,26.3396,25.3815,1.45
JD 10,127,125,124,166,168,148,146.5,19.5,7.9301,7.879,8.1904,8.9608,9.7823,9.6252,8.9568,1.0267,1434,17.3536,16.1573,15.1204,16.0232,15.5722,15.2254,15.5594,-1.79
JD 11,97,99,104.5,127,175,174,153.5,56.5,6.6663,6.4506,6.9312,7.532,9.5188,8.85,8.9748,2.3085,598,21.0593,22.7895,22.2643,22.5793,23.0162,22.8972,23.8895,2.83
JD 12,217,302,282,239.5,182,196,227,10,8.502,9.2427,10.3077,10.5412,9.4029,9.7182,9.836,1.334,317,24.2667,25.6355,24.4452,23.1525,22.1991,21.7737,23.6656,-0.60
JD 13,163,191,211,244,286,272,248.5,85.5,6.7558,6.9685,7.5058,7.7685,8.3535,8.7256,8.9802,2.2244,660,29.4870,31.5068,33.6395,36.2622,36.2175,33.6927,31.0988,1.61
JD 17,142,146,164,242,278,270,225,83,6.2735,6.2462,6.7328,7.7904,8.6912,8.7795,8.2789,2.0054,4085,25.2122,24.6314,25.1356,28.2653,28.1314,27.9888,27.6033,2.39
JD 18,184,191,196,239,290,279,269,85,7.8841,8.0889,8.363,9.1336,10.2795,9.9414,9.5763,1.6922,4019,25.9173,25.7996,25.5495,27.2949,26.9189,26.4061,27.6010,1.68
JD 19,145,156,169,214,229.5,268,264,119,7.6801,7.9337,8.2619,9.2279,9.9413,10.4366,10.239,2.5589,1958,21.3727,22.8447,23.7143,24.6546,24.7866,27.0262,27.6857,6.31
JD 20,151,160,178,213.5,200,189.5,184,33,5.5978,5.804,6.0121,6.9637,8.0418,7.9709,7.6463,2.0485,1702,24.3929,24.6340,25.4098,27.5609,27.7383,27.3141,27.2753,2.88
JD 21,154,166,160,216,231,219.5,213,59,8.656,8.9584,8.9507,9.8543,10.9162,10.9017,11.0156,2.3596,1487,18.8789,18.8061,19.8516,22.2589,20.9036,20.0776,20.5587,1.68
JD 22,132,128,141.5,149.5,169,184,131.5,-0.5,8.3895,7.8836,8.7975,8.2143,8.6078,8.9645,7.4333,-0.9562,150,17.1811,17.5517,17.3631,20.1617,20.1842,21.9375,20.2000,3.02
